"( S) Saksa","Sáksi"
"(lok.) korkealla, korkealta, korkeudessa, korkeudesta, korkeuksissa, korkeuksista; (ill.) korkealle, korkeuksiin, korkeuteen","allagas"
"(lok.) koukkuun tarttuneena muusta kohdasta kuin suustaan (kalasta); (ill.) ...tarttuneeksi...","njahpas"
"(lok.) koukkuun tarttuneena muusta kohdasta kuin suustaan (kalasta); (ill.) ...tarttuneeksi...","njahppagas"
"(lok.) kulkeilla; (ill.) kulkeille","mannolat"
"(lok.) kurkussa, nieltynä; (ill.) kurkusta alas, niellyksi","njiellagas"
"(lok.) kuuloetäisyydellä; (ill.) kuuloetäisyydelle","gulámuddu"
"(lok.) kyyryssä, (ill.) kyyryyn","huhttagas"
"(lok.) kyyryssä, (ill.) kyyryyn","náđđagas"
"(lok.) kyyryssä; (ill.) kyyryyn","guoggaras"
"(lok.) ladattuna, latingissa; (ill.) ladatuksi, latinkiin","láddagas"
"(lok.) ladattuna, latingissa; (ill.) ladatuksi, latinkiin","láttas"
"(lok.) ladattuna, latingissa; (ill.) ladatuksi, latinkiin","luođa"
"(lok.) ladattuna, latingissa; (ill.) ladatuksi, latinkiin","luođđagas"
"(lok.) levossa, levähtämässä (vesilinnusta tms., tav. jäänreunalla); (ill.) lepoon, levähtämään...","njoara"
"(lok.) lieassa, venteessä; (ill.) liekaan, venteeseen","veaddagas"
"(lok.) liian ohueksi muokattuna tai kuluneena (nahka)","assebealli"
"(lok.) loitolla; (ill.) loitos","gáidagas"
"(lok.) luhistuksissa, lysähtäneenä; (ill.) luhistuksiin","lasmmus"
"(lok.) näkymättömänä, näkymättömissä; (ill.) näkymättömäksi, näkymättömiin","geaidagas"
"(lok.) odotettavissa","vuordagas"
"(lok.) patoutuneena; (ill.) patoutuneeksi","buođđagas"
"(lok.) peitoksissa, (lumen, hiekan) peitossa; (ill.) peitoksiin, (lumen, hiekan) peittoon","jávis"
"(lok.) peitossa, peityksissä; (ill.) peittoon, peityksiin","gokčagas"
"(lok.) pinnassa, lähellä pintaa, pinnalla; (ill.) pintaan, lähelle pintaa, pinnalle","govdilas"
"(lok.) riipuksissa, riippumassa; (ill.) riipuksiin, riippumaan","heaŋgagas"
"(lok.) säästössä; (ill.) säästöön","duohččagas-"
"(lok.) säästössä; (ill.) säästöön","duohččas"
"(lok.) sukelluksissa; (ill.) sukelluksiin","buokčagas"
"(lok.) ulottuvilla, ulottuvilta; (ill.) ulottuville","olámuddu"
"(lok.) ulottuvilla; (ill.) ulottuville","duhkodat"
"(lok.) vahingossa","vilˈlavággu"
"(lok.) venytyksessä, venytettävänä; (ill.) venytykseen, venytettäväksi","vatnagas"
"(lok.) vireessä, viritettynä; (ill.) vireeseen, viritetyksi (ansasta)","giellagas"
"(lok.) vyyhdellä, kehittynä, (ill.) vyyhdelle, kehityksi","njámmagas"
"(lok.) yhteydessä, yhteydestä, piirissä, piiristä, luona, luota, puitteissa; (ill.) yhteyteen, piiriin, luo, luokse, puitteisiin","olli"
"(lok.) ylhäällä, ylhäältä, ylämaalla, ylämaalta; (ill.) ylhäälle, ylämaalle","badjugas"
"(luistava) keli, luistokeli, luisto","jođádat"
"(luistava) keli; luistokeli; luisto","jođádat"
"(lumen, hiekan) pölinä, tuiske","soiccas"
"(lumesta:) kovettunut","ceaves"
"(lumesta:) paakkuuntua","čahkiluvvat"
"(lumi)vyöry; ryöppy","uđas"
"(luodista) haavoittunut","bážas"
"(luonteen tms.) tasaisuus, vakavuus","stáđisvuohta"
"(luontojaan) supussa (suusta, huulista)","smuhčil"
"(lusikoitava) ruoka","gaccus"
"(luu)naskali","soairu"
"(luun)siru","čiekka"
"(lyhyehkö, syvähkö) laakso","vággi"
"(lyhyet) jalat harallaan seisova olio","reahcci"
"(lyhyt) joki (järvien välissä)","giezzi"
"(lyhyt) pouta (sadesäällä), tauko (sadesäässä)","boavdi"
"(lyhyt) suvanto (kahden kosken välissä)","jalvi"
"(lyhyt) vihellys","njurggastat"
"(lyhyt, paksuhko) suonirihma, (jänteen paksuhko) säie; (kuivattuja jänteitä nuijiessa syntynyt) suonisäie","láhppu"
"(lyönnistä aiheutunut) kuhmu","guvhli"
"(lypsävistä eläimistä, naisista:) herua","mielkut"
"(lypsävistä lehmistä, naisista:) ehtyä","mielkkehuvvat"
"(maa)kotka","goaskin"
"(maa)lattia, permanto","guolbi"
"(maailman) luominen","sivdnidupmi"
"(määräysten) noudattaminen","doahttalus"
"(maastosta:) kapeikkoinen; (vaatteesta:) kovin tai liian kapea vyötärön kohdalta","bohkkái"
"(maastosta:) notkollaan","leagil"
"(maatalon) karja","gárji"
"(maatunut) kotasija, (tontti)maa","duktásadji"
"(maidosta:) kermainen","gahppii"
"(maidosta:) kermainen","lákcái"
"(maito)horsma","horbmá"
"(matala ja laaja) pykälä (korvamerkissä)","vakŋa"
"(matala) kenkä, nappaskenkä, pieksu, saapikas; hevosenkenkä","skuovva"
"(matala, jonkin verran metsäinen) jokilaakso","vuomádat"
"(matka- tai pääsy)lippu","bileahtta"
"(maultaan) etova","áskkas"
"(mausteena käytettävä) kumina","kárvenat"
"(melko) ahkera, viitseliäs","viššalaš"
"(melko) hedelmätön (naisesta, naaraseläimistä)","sahkuheapme"
"(melko) moni ihminen; (ei kovinkaan) moni (ihminen)","moanatgallis"
"(meren) lahti (pyöreähkö, erit. paikannimissä)","gohppi"
"(meri)kihu","háskil"
"(metsä)jänis","njoammil"
"(metsä)korte","čuotnjátrássi"
"(metsä)kurjenpolvi","alitrássi"
"(metsäinen ja kapea) jokilaakso (tunturissa)","vuomuš"
"(miehen tai pojan) naisserkun aviomies; aviovaimon serkun poika; isän tai äidin serkun aviomies","máhkabealle"
"(miehen)körilään, roikaleen kaltainen, roikalemainen","koaillas"
"(miehen)köriläs, roikale","koaili"
"(mielen) hämärä, hämäryys","geađđi"
"(miespuolinen) opettaja","skuvlaalmmái"
"(miespuolinen) serkku","vilbealle"
"(minun) itseni jne. kanssa","iežainan"
"(minut) itseni; (minun) oma(ni)","iehčan"
"(muista erottuva) vaara; punkero","bárši"
"(muodoltaan) kiero; helposti vääntyvä","geavzzas"
"(naaraseläimen) kiima, kärpä","gipmi"
"(nahan alla oleva) hylkeenrasva","sulti"
"(nahasta:) hauras, ratkeava","gállálas"
"(nahka) josta karva lähtee tai katkeilee","botkkas"
"(nahka) josta karva lähtee tai katkeilee, pölisevä (karvanahka)","botkái"
"(naisen) kipakkuus, kärttyisyys","buoššivuohta"
"(naisen) kipakkuus, kärttyisyys","buššodat"
"(naisen) päällyslakki; (tavallisen lakin päälle tuleva) suojuslakki","skupmot"
"(naisen) raskaus; voimattomuus","áhpehisvuohta"
"(naisesta:) (lok.) raskaana; (ill.) raskaaksi","gassagas"
"(naisesta:) heittäytyä hysteerikoksi, säikyksi","cáiccáskit"
"(naisesta:) hysteerikko, säikky","cáicu"
"(naisesta:) käyttäytyä kuten hysteerikko, käyttäytyä säikysti","cáiccistit"
"(naisesta:) käyttäytyä kuten hysteerikko, käyttäytyä säikysti","cáicudit"
"(naisesta:) kiukkupussi, äkäpussi; kipakka, kärttyisä","buošan"
"(naisesta:) pullea, pyylevä","jakkas"
"(naisesta:) pullukka","jaggi"
"(naisesta:) tulla hysteerikoksi, tulla säikyksi","cáiccagit"
"(naisista:) liehua (leveähelmaisissa vaatteissaan)","heavlut"
"(naispuolinen) serkku, orpana","oarpmealle"
"(naisten) hartiasuojus","njálfáhtta"
"(näköesteestä:) panna tai saada sivuuttamaan (tietämättään; tav. joku vastakkaiseen suuntaan kulkeva)","molladahttit"
"(nartusta, jonka jalat tai etujalat ovat taipeesta alaspäin valkoiset:) sukkajalka","bittus"
"(navetassa) karsina, parsi, (tallissa) pilttuu","hiŋggal"
"(neg.) tahtoa uskoa, ruveta uskomaan","jáhkestuvvat"
"(nesteen tms.) laimennin, ohennin","njárbbadas"
"(nesteestä:) juokseva","golgil"
"(nesteestä:) madaltua (nopeasti), (vedestä:) laskea (nopeasti)","coahkulit"
"(niin ja niin monta) kertaa","gearʼ"
"(niitin) päätekanta","rovvi"
"(niitty)suolaheinä","juopmu"
"(noidan asettama) kiro, pahahenki, taika","bijat"
"(nordlantilaisen meriveneen) kajuutta","veaŋga"
"(nuoremman) veljen lapsi (sedälleen), nuoremman miespuolisen serkun lapsi (sedälleen)","eahkit"
"(nuori) koivu","látnjá"
"(nuori, alle vuotias) kirjohylje","vieksi"
"(nuorta koivua kasvava) koivikko, vesakko","lánjas"
"(nuotan) kela","gehlá"
"(nuotan) lauduksen aines (lauta tms.)","luovddis"
"(nuotasta:) jossa on paljon lauduksia","luovdái"
"(nyljetty) nahka; kaksoisolento; naamari; valepuku; linnunkuva, kaave (vesilintujen pyynnissä); läikkä, läiskä","hápma"
"(nyt) heti, oitis","dákkaviđe"
"(obsol.) kahden killingin lantti","huitor"
"(ohuesta hangesta t. jäästä:) murtua","moarrašuvvat"
"(ohut) lanka, ompelulanka","árpu"
"(ohut) sumu","sopmu"
"(ojentava) huomautus, nuhde, varoitus","cuiggodus"
"(olosuhteista:) muuttua ankara(mma)ksi","goavásmit"
"(on) ollut","leamašan"
"(oriista:) aikoa astua","duolmmȯstuvvat"
"(oven tms.) -pieli","-bealis"
"(oven) rako","goavku"
"(ovesta, kannesta tms.:) raottua; ratketa (saumasta tms.)","goavkkagit"
"(pää)kallo","skoalta"
"(pää)liina, huivi; (pellava)kangas","liidni"
"(paakkuuntunut ja huonosti kuivunut) heinä","láhkku"
"(päässä oleva) kruunu","kruvdnu"
"(paha) sisu, sinni","sidni"
"(paha) takkala, paataja (paljon lumen aikana)","durddádat"
"(pahan, hyvän jne.) suominen, suopaisuus, suopuus","udnu"
"(pahan, hyvän jne.) suopaisuus, suopuus","udnonvuohta"
"(paikasta, seudusta:) altis (säille), suojaton, aukea","bárut"
"(paksu) sarka","dámpagákkis"
"(pallo)maila","časkinmuorra"
"(palo)viina","buollánviidni"
"(palo)viina","buolˈleviidni"
"(parkkinahkainen) kinnas, rukkanen","rahpot"
"(parta)naava, luppo","lahppu"
"(paulan) nyöri","bárggeš"
"(pauloitettu) nilkka","giesahat"
"(pauloittamaton) kenkä, tohveli, tossu","loabát"
"(peli)kortti; (pl.) (peli)kortit, korttipakka","spealla"
"(pelto-, lapin)lemmikki","vajálgeahtesnásti"
"(pesä)kolo (maassa, kiven alla), luola, (ketun) liesu","biedju"
"(petolinnusta:) siepata","bivssastit"
"(pienehkö) joki","veadji"
"(pienehkö) laakso, notkelma (kahden rinteen välissä)","askkádat"
"(pienehkö) sei, saita","geavlosáidi"
"(pienehkö) vene","gárbbis"
"(pienehkö, syvä) rotko, kursu, kapea kuru","gorsa"
"(pieni ja jyrkkä) kanjoni","guršu"
"(pieni rotko, kuilu, kuru, jyrkkärantainen kapeikko)","skurču"
"(pieni) joki; sahanteräjuova (naisenpaulassa)","jogaš"
"(pieni) laakso","leagástat"
"(pieni) lapio, leipälapio","spoađđu"
"(pieni) merikala","murtu"
"(pieni) metsikkö, vesakko","bohttu"
"(pieni) metsikkö, vesakko, tukko (leikkaamatta jätettyjä karvoja tms.)","bohttu"
"(pieni) metsikkö; pehko, tukko, tuppo (heinää, karvoja tms.)","duhkku"
"(pieni) pulkka, kotti","bulkor"
"(pieni) puukko, pikkupuukko","buvku"
"(pieni) rotko, kuilu, (kapea) laakso, kuru; jyrkkäreunainen kapeikko (joessa)","skurču"
"(pieni) seiti","sáidelágga"
"(pieni) voikauha","fáskkir"
"(pieni, huonoääninen) tiuku, kello","gilkkan"
"(pieni, parista hirrestä tehty) silta, pitkospuut","rovvi"
"(pieni, pellavainen) kaulaliina","gárttonliidni"
"(pieni, raaka) marja, raakile","bihcir"
"(pieni, syvä) joki, (syvä) suvanto (pikkujoessa)","fielbmá"
"(pienisilmäinen) verkko","sáibma"
"(piipun)varsi","veardi"
"(piipun, saappaan, sukan) varsi, (housujen) lahje","leagga"
"(pikainen)","dalán oažžut"
"(pikku)kajava","gádjit"
"(pikku)koskelo","goalsi"
"(pikku)kuovi","guškil"
"(pikku)kuovi","guškkástat"
"(pikku)takki","geavla"
"(pikku)tuulenkala","sivla"
"(pikkupojan) penis, pili, pippeli","cisˈsá"
"(pingotus)varpa, sinka; (erit. päällä oleva) hanka (korvamerkissä)","gieška"
"(pitävä) jalansija; (kelin) pitävyys; liukueste","coakci"
"(pitkä) jono","gárgadas"
"(pitkä) kaulaliina","kuššát"
"(pitkä, ohut) lumikirppu","civzza"
"(pitkä, villainen) kaulaliina","šearfa"
"(pitkällinen) sairaus","buozalmas"
"(pl.) (ihon) nilellä olo","njalat"
"(pl.) (lähi)ympäristö","birrasat"
"(pl.) (poliisi)kuulustelut, tutkimukset","dutkkalmas"
"(pl.) (synnytys)poltot, poltteet, (ákta-:) synnytyspoltto-","ávttat"
"(pl.) (toistensa) parit","beležat"
"(pl.) Vardø, Vuoreija","Várggát"
"(pl.) aivot","vuoigŋašat"
"(pl.) alimmaiset selkänikamat","smarbmedákti"
"(pl.) armaat keskenään, rakastavaiset; läheiset ystävykset","gierrásaččat"
"(pl.) ehtoollinen, illallinen","eahkedaččat"
"(pl.) eräs suurilehtinen saniaislaji","gáiskkit"
"(pl.) gimbalat: aherrus, ponnistelu","gimbbal-"
"(pl.) häät, juhlat; headja-: hää-, juhla-","heajat"
"(pl.) hohtimet","kliippetáŋggat"
"(pl.) hyvät ihmiset","olbmožat"
"(pl.) johtosolukko","jođusseallat"
"(pl.) juhannus","mihcamárat"
"(pl.) juomingit","jugalmasat"
"(pl.) kaatiot","stihká-"
"(pl.) kaide (kangaspuissa)","gálkkot"
"(pl.) kantosatula (tilapäinen, koivunoksista tehty)","stoahčet"
"(pl.) kaurat (pellossa olevasta viljasta)","gávrrat"
"(pl.) kaverukset","skihpáraš"
"(pl.) kaverukset, ystävykset","burežat"
"(pl.) ketjut","gehtet"
"(pl.) ketunmyrkky","sulin-"
"(pl.) kirppa jne.","behttosat"
"(pl.) kivekset","vuolleváimmut"
"(pl.) kotti-, käsikärryt","trilˈlaborat"
"(pl.) lähistö, lähiympäristö","lahkosat"
"(pl.) lahnaruohokasvit","njuovvešattut"
"(pl.) lumisateinen sää","muohttálagat"
"(pl.) mäti","meađđemat"
"(pl.) monet (pl.), monituiset (pl.)","moanat"
"(pl.) nojapuut","dorjjohat"
"(pl.) pääsiäinen, pääsiäispyhät","beasˈsážat"
"(pl.) palleropilvi","bieggagaccat"
"(pl.) psoriasis","durvát"
"(pl.) ráhkkásaččat: rakastavaiset","ráhkkásaš-"
"(pl.) sáhpelat: sapilaat","sáhpel"
"(pl.) saunakukka, (piha)saunio","jámešbátni"
"(pl.) silmälasit","brillat"
"(pl.) sisarukset, siskokset","oappáš"
"(pl.) suitset","suittet"
"(pl.) syömingit","boralmasat"
"(pl.) tanssiaiset","dánsejaččat"
"(pl.) terveiset","dearvvuođat"
"(pl.) toverukset","guimmežat"
"(pl.) useimmat","eanemus"
"(pl.) väärtit (keskenään), kaverukset","verddeš"
"(pl.) veljekset; adv. veljen(sä) kanssa","vieljaš"
"(pl.) vihamiehet keskenään","bahážat"
"(pl.) yksisirkkaiset","ovttaiđogat"
"(pl.): kunto","álššat"
"(pohjan)katinlieko","idni"
"(pohjan)tikka","čáihni"
"(pohjan)tuomi","ávža"
"(pohjan)tuomi","duopma"
"(pohjoissaamen itämurteissa:) patja; (länsimurteissa:) tyyny","bolsttar"
"(poikittais)harju","buolža"
"(poltettava) hiili","koalla"
"(polttava) kipu","boalddáhat"
"(polttopuista:) piukkuva(inen)","russolas"
"(polun tms.) haara","serrodat"
"(polvi)taive","gáddu"
"(pölyävä) tuhka, hitu, tomu","gabus"
"(pölyn)imuri","noavki"
"(poro)erotus","rátkimat"
"(poro)erotus","rátkka"
"(poro)raito, karavaani; jono; sarja","ráidu"
"(poro)reki; kelkka","gielká"
"(poro)tokan suurin hirvas (erit. rykimäaikana)","áidnaváldu"
"(porohirvaasta:) ahdistella (vaadinta paritteluaikeissa)","ragahallat"
"(poroista:) käyskennellä, kuljeksia","gábárdallat"
"(poroista:) ruveta palkimaan, liikkumaan (kesälaitumella)","bálgalit"
"(porojen) paimennus","reaidnu"
"(porojen) seisotuspaikka","čuččohat"
"(poron korvasta:) näyttää siltä, että (merkkinä) olisi vita","skivnnjastahttit"
"(poron tms.) elanto, elinolosuhteet, biotooppi","ealát"
"(poron) jänne (etujalassa kolmihaarainen, takajalassa kaksihaarainen)","ánjis"
"(poron) kantosatulan, pakatuksen aines","spagas"
"(poron) kaulalihat","gurti"
"(poron) parkkinahka, sisna","sisti"
"(poron) polvilumpio","bužosdákti"
"(poron) uloste (kesällä)","haksa"
"(poron) verkkomaha, salmas","čalmmas"
"(poron, hirven) kiima, rykimäaika","ragat"
"(poron, kotieläimen) kohtu; (pl.) jälkeiset","vuossa"
"(poron, lampaan tms.) uloste","gágir"
"(poron, lehmän, hevosen) etuselkä; (ajoporon) oikea puoli","seahpi"
"(poron, peuran, hirven) vasa, vasikka","miessi"
"(poron- tai lampaansuolesta tai piimästä tehty) juoksute, mako","máhku"
"(poronmaidosta keitetty) herajuusto","gamar"
"(poronvasasta:) luoda karvansa","muovjádit"
"(porosta:) halukas laiduntamaan","guohttul"
"(porosta:) keloa sarviaan (vähän); mitellä voimiaan","čalastit"
"(porosta:) kiveräsarvi","gavvarisčoarvi"
"(porosta:) kulkea etsimässä jäätynyttä kusta, virtsaa","gužžet"
"(porosta:) tutinasarvi","spažʼoaivi"
"(porotokan) keskus, ydintokka","čoahkáš"
"(porotokan) laitistaja, juontaja","láidesteaddji"
"(porotokan, lehmien tms.) ajo, ajattaminen, tokanajo","vuojeheapmi"
"(porotokista:) sekaantua, sekoittua, (vähin erin), mastailla; sekaantua, sekoittua toisiinsa","masttadit"
"(postp., prep.) ympäri; ympärille, ympärillä; koskien (jtak)","birra"
"(puhe)ääni, (jstak lähtevä) ääni; ääni (äänestyksessä)","jietna"
"(puhkeamaton) rakko, hiertymä","skohpalas"
"(puhuttu) kieli","giella"
"(puinen) ämpäri, pytty","eappir"
"(puinen) kanki, vipu","gágga"
"(puinen) kaukalo, kaara","gárri"
"(puinen) lautanen","lásti"
"(puinen) pukki, renkku","buhkke"
"(puissa talvella oleva) lumettomuus","sealli"
"(puraistu) suupala","gáskkus"
"(purje)kangas","fárju"
"(purje)laiva, haaksi","skiipa"
"(purjeen) reivi","kluovva"
"(putouksen) nielu","njielahat"
"(puu)hiili, sysi","čitna"
"(puu)ydin; (atomin-) ydin jne.","váimmus"
"(puuastiasta, märkänä olleesta vaatteesta:) tunkkainen, ummehtuneen hajuinen","mukkas"
"(puuastiasta:) vesitiivis, tiiviiksi turvonnut","doŋas"
"(puukon tms.) kalsu, nysä","balča"
"(puukon tms.) terän aines","dearis"
"(puukonterän) kara, ruoto","bortnis"
"(puun t. lihan) syy","sidja"
"(puun, joen) latva; latvus; (nesteen, lumen, ihon) pinta","giera"
"(puunaulan) kiila","hirˈrehas"
"(puunaulan) kiila","hirˈrehat"
"(pyöreä) kukkula, kumpu; kasa, kukkura","čopma"
"(pyöreä) nappi (vyössä)","mállji"
"(pyöreähkö meren)lahti (erit. paikannimissä)","gohppi"
"(pyöreän esineen, lumen) hoikkuus, ohuus","seggodat"
"(pyöreäpyrstö)molva (kalalaji)","lággu"
"(pyöreistä esineistä, lumesta:) paksu, (lumesta:) vahva","gassat"
"(pyöreistä esineistä:) paksuinen","gassosaš"
"(pyssyn) hana","hátná"
"(pystyssä olevasta:) kaatua, laota; (jstak riippuvasta t. esim. hyllyllä olevasta:) pudota, joutua (jnk) pudottamaksi","njeaidásit"
"(pystytetty) tuulensuojus, tuulensuoja","bearjjas"
"(rääsyistä:) heilua, roikkua; (ihmisestä:) retalehtaa","limškkistit"
"(rahan) ansio, tienesti","tienas"
"(rahan) kulku, liikkeessä olo; vauhti; menekki; juto, kulkuneuvo","johtu"
"(rahiseva, hanhen henkitorvesta tehty) keränpohja; helistin","skoarahat"
"(raivattu) tienaukko, linja (metsässä), raivio","gárssahat"
"(rakennuksen) kehä","gehá"
"(rakennuksen) nurkka (erit. ulkopuolella); nurkka, hirrenpää","nurki"
"(rakennuksessa:) oviaukko, ovi, (aidassa:) veräjä, portti, (riekonansakaarteessa:) ansa-aukko","uksa"
"(rakentamaton) tie, ajamisen tms. seurauksena metsään syntynyt tie, metsätie, talvitie","máđii"
"(rannalle noussut) ahtojää","sáissa"
"(rannalle noussut) ahtojää, jääteli","sáissa"
"(rannasta nouseva, yl. kaivettu) luiska, kärrytie, (ranta)polku","luhppu"
"(rannasta nouseva, yleensä kaivettu) luiska, rantapolku, kärrytie ???","luhppu (Jálgesvárluhppu)"
"(reen) jalas, (ahkion, veneen) emäpuu, köli","mielggas"
"(rel.) nälkäinen, isoavainen","nealguvaš"
"(retken) päällikkö, johtaja; opas","ofelaš"
"(riippuvasta padasta, kattilasta:) vinossa","vuosˈseálˈlái"
"(rinta- ja vatsa)ontelo","vuovda"
"(ripustettava) suola-astia, salkkuri","sálkor"
"(riuska, topakka) nainen","gába"
"(roikkuva) riekale, liehuke","lihpázas"
"(rotkon) kapeikko","ruovddáš"
"(ruinaava) kiusanhenki, kiusankappale","vuorjjat"
"(runsas)maitinen","guoksái"
"(ruoaksi käytettävä) liha; lihat (pl.), poskilihakset (pl.)","biergu"
"(ruoan aineksista:) höysteinen, mehevä","suvlái"
"(ruoan, juoman) ravitsevuus, yty, voima","álbmi"
"(ruoasta:) kypsä; (tytöstä:) ripilläkäynyt","givssas"
"(ruohoinen, korkea, puuton) rinne","riidi"
"(ruohoinen, korkea, tav. puuton) rinne","riidi"
"(ruoka)sipuli","lávki"
"(ruskea) levä, rakkolevä","deappu"
"(ruumis)arkku","gistu"
"(s.) oikkupussi, oikukas, vaatelias nainen; (a.) oikukas, vaatelias","luoktu"
"(saappaan tms.) paikka, paikkalappu","duokŋas"
"(säästä:) kirkastua (kuuron jälkeen)","oktet"
"(säästä:) kirkastua (nopeasti kuuron jälkeen)","oktestit"
"(säästä:) kirkastua (vähin erin kuuron jälkeen)","oktedit"
"(säästä:) viiletä (äkkiä)","čoasihit"
"(säästä:) viiletä (äkkiä)","čoaskkihit"
"(säilytysastiaksi kuivattu) maha, rakko","fáhtti"
"(sairaus- tms.) kohtaus","dohppehallan"
"(saksista:) lintata, lipsahtaa","cákcasit"
"(sanallinen) pila, leikki, vitsi","spivka"
"(sangallinen) rove, (tuohi)vasu","guošˈši"
"(saraheinän) käpy","guodja"
"(sarven, airon) lapa","lieđbmá"
"(sarven, airon) lapa","speađđu"
"(sarvi)kiela (suopungissa)","čoarvegiella"
"(saumasta:) poimuttua","guohpašuvvat"
"(savu)pelti, sulkupelti savupiipussa; peltilevy (jhk tiettyyn tarkoitukseen)","spelˈle"
"(seinä)vara","várá"
"(selästä:) koukussa, köyryssä; köyryyn kasvaneena","guvnnil"
"(selkä)noja","mieiggastat"
"(selvittää sovinnollisesti)","čoavdit soabalaččat"
"(seudun) kaunistus, tähti (kaunein tai komein jllak seudulla)","geallu"
